variant,label,metric,mean,std,n,sem,ci95,normalized_score
full,Full CNN-Transformer,MAP RMSE (mmHg),3.681796485834013,0.30947778622212635,12,0.08933854159177705,0.17510354151988303,100.0
mlp_ac,MLP Actor-Critic,MAP RMSE (mmHg),6.85810282561897,0.5502985789941497,12,0.15885751635847045,0.31136073206260206,35.97873747525756
transformer_only,Transformer-only Actor-Critic,MAP RMSE (mmHg),4.9512985423894795,0.7898774057210441,12,0.22801796640992406,0.44691521416345115,74.41206365380349
cnn_only,CNN-only Actor-Critic,MAP RMSE (mmHg),5.530887085830976,0.7694264176602371,12,0.22211427467887368,0.4353439783705924,62.72994413301656
reward_ablation,Reward ablation baseline,MAP RMSE (mmHg),4.1213564108561025,0.3983111417848689,12,0.11498252246536064,0.22536574403210685,91.14028108601751
fixed_speed,Fixed-speed baseline,MAP RMSE (mmHg),8.64312685409628,0.9768938384280703,12,0.2820049602930666,0.5527297221744105,0.0
full,Full CNN-Transformer,Flow RMSE (L/min),0.3403570359036738,0.054843657434758074,12,0.015832000191650597,0.03103072037563517,100.0
mlp_ac,MLP Actor-Critic,Flow RMSE (L/min),0.7150664033752215,0.07410568181140902,12,0.021392467671148874,0.04192923663545179,26.339771754874636
transformer_only,Transformer-only Actor-Critic,Flow RMSE (L/min),0.47037506888257785,0.06994392376753446,12,0.020191071607682343,0.03957450035105739,74.44110338144797
cnn_only,CNN-only Actor-Critic,Flow RMSE (L/min),0.5637473326999468,0.06925549605854366,12,0.019992339646130623,0.03918498570641602,56.086018449994526
reward_ablation,Reward ablation baseline,Flow RMSE (L/min),0.3924260994866659,0.06497123436142725,12,0.018755579824076146,0.03676093645518924,89.76428282561052
fixed_speed,Fixed-speed baseline,Flow RMSE (L/min),0.8490567459080953,0.116954329830279,12,0.03376180690520193,0.06617314153419579,0.0
full,Full CNN-Transformer,Unsafe Event Rate (%),2.1839245313390396,0.5787311941396293,12,0.16706530536247427,0.3274479985104496,100.0
mlp_ac,MLP Actor-Critic,Unsafe Event Rate (%),10.745291576062519,1.6256929303585503,12,0.4692971254810903,0.919822365942937,7.558233716121915
transformer_only,Transformer-only Actor-Critic,Unsafe Event Rate (%),5.126720300376099,1.0753611708601405,12,0.31043003073608666,0.6084428602427299,68.22502326072208
cnn_only,CNN-only Actor-Critic,Unsafe Event Rate (%),6.957067125164616,0.9127704944872463,12,0.26349414535027976,0.5164485248865484,48.461766702317696
reward_ablation,Reward ablation baseline,Unsafe Event Rate (%),9.538852015407286,0.6728568460441136,12,0.19423704059482577,0.3807045995658585,20.584822030712466
fixed_speed,Fixed-speed baseline,Unsafe Event Rate (%),11.445286996474659,1.6535594057373817,12,0.47734148401175747,0.9355893086630446,0.0
full,Full CNN-Transformer,Speed Variation (krpm),0.3728477665793766,0.037652788719455446,12,0.010869423851458854,0.021304070748859354,44.125951959320936
mlp_ac,MLP Actor-Critic,Speed Variation (krpm),0.20642174946024405,0.041007914359529545,12,0.011837965197189751,0.023202411786491912,78.61141114859477
transformer_only,Transformer-only Actor-Critic,Speed Variation (krpm),0.2769473477765475,0.04653112892730913,12,0.013432379905939556,0.02632746461564153,63.99766454433019
cnn_only,CNN-only Actor-Critic,Speed Variation (krpm),0.22526893058125355,0.04033724108825123,12,0.01164435850033434,0.022822942660655307,74.70605003599799
reward_ablation,Reward ablation baseline,Speed Variation (krpm),0.5857985756689107,0.09987767308832282,12,0.028832200721788312,0.05651111341470509,0.0
fixed_speed,Fixed-speed baseline,Speed Variation (krpm),0.10320092137728144,0.0207545209046671,12,0.005991314115605633,0.01174297566658704,100.0
full,Full CNN-Transformer,Return,87.8802636824036,3.154378814713633,12,0.9105907289004843,1.7847578286449493,100.0
mlp_ac,MLP Actor-Critic,Return,60.78860037055171,4.208197355162497,12,1.2148019379030695,2.3810117982900163,24.447751557001627
transformer_only,Transformer-only Actor-Critic,Return,76.54379973527766,2.8937732659442643,12,0.8353603870333318,1.6373063585853302,68.38528034475983
cnn_only,CNN-only Actor-Critic,Return,69.33279987353852,3.505650645383848,12,1.011994171898575,1.9835085769212069,48.275505363236135
reward_ablation,Reward ablation baseline,Return,73.69712129647506,4.593641564257787,12,1.3260700968424435,2.599097389811189,60.44656672020169
fixed_speed,Fixed-speed baseline,Return,52.02208094110288,4.258362445710047,12,1.2292833521688444,2.409395370250935,0.0
