controller,scenario,MAP RMSE (mmHg)_mean,MAP RMSE (mmHg)_std,MAP RMSE (mmHg)_count,Flow RMSE (L/min)_mean,Flow RMSE (L/min)_std,Flow RMSE (L/min)_count,Settling time (s)_mean,Settling time (s)_std,Settling time (s)_count,Speed variation (krpm)_mean,Speed variation (krpm)_std,Speed variation (krpm)_count,MAP RMSE (mmHg)_sem,MAP RMSE (mmHg)_ci95,Flow RMSE (L/min)_sem,Flow RMSE (L/min)_ci95,Settling time (s)_sem,Settling time (s)_ci95,Speed variation (krpm)_sem,Speed variation (krpm)_ci95,Transition score
Proposed CNN-Transformer,Rest to activity,2.9982891148768194,0.5214160497823479,12,0.23717750362096005,0.04271628732931069,12,5.679977919761978,1.1364808242126603,12,0.33221691583707724,0.041408272595003744,12,0.15051984835081494,0.2950189027675973,0.012331129994179464,0.02416901478859175,0.3280737548940136,0.6430245595922666,0.011953538664701408,0.02342893578281476,77.78440346077541
Proposed CNN-Transformer,Activity to rest,2.598030285709179,0.4589043856554658,12,0.233584443269604,0.032710983705865976,12,5.601371423488505,0.7886310214691973,12,0.2642792394219139,0.030238663067776513,12,0.13247428529524152,0.25964959917867336,0.009442847624019592,0.0185079813430784,0.2276581662682653,0.44621000588579995,0.008729150131057583,0.01710913425687286,84.25554384388688
Proposed CNN-Transformer,HF severity change,3.514240118329301,0.3847672228237286,12,0.29945974280316046,0.05361281185527153,12,7.147678946278487,1.0894589211873447,12,0.3995161994964897,0.051733488705143285,12,0.11107272983631222,0.21770255047917195,0.01547668567832689,0.030334303929520703,0.31449970070927635,0.6164194133901817,0.01493417181501647,0.02927097675743228,66.72069153889126
Existing DRL,Rest to activity,3.977023521754395,0.4952507197035339,12,0.3210268868864711,0.06610368096020668,12,9.271274813262664,1.199129518173336,12,0.2470023555078794,0.018695329873568645,12,0.1429665681685956,0.2802144736104474,0.019082488998400232,0.037401678436864455,0.3461588750553009,0.6784713951083897,0.005396876867546855,0.010577878660391836,71.75460274481492
Existing DRL,Activity to rest,3.721721157135247,0.4972448477091514,12,0.32148416953972,0.03681953961289124,12,7.639448648584506,1.254939285548494,12,0.24830683818936672,0.04423142513703254,12,0.14354222333901653,0.2813427577444724,0.010628885553470425,0.020832615684802033,0.36226976716402987,0.7100487436414985,0.01276851260475326,0.02502628470531639,74.7219365480303
Existing DRL,HF severity change,5.398776027927095,0.5472401501892084,12,0.4720580728567196,0.07853671116903918,12,10.938888194703495,1.0308951717567585,12,0.3271996546142007,0.0434651371246286,12,0.15797462401155535,0.30963026306264846,0.022671595667356333,0.04443632750801841,0.29759380246002504,0.5832838528216491,0.01254730430963416,0.024592716446882955,52.33673195279472
Rule-based,Rest to activity,5.407258473524873,0.7969006624903265,12,0.5581560258492121,0.11254344057228677,12,12.232386634112451,1.716274170371042,12,0.2190220431146074,0.03463237255013758,12,0.2300454060030906,0.45088899576605757,0.03248849285496821,0.06367744599573769,0.4954456771334614,0.9710735271815842,0.00999750480724867,0.019595109422207393,54.517780113768616
Rule-based,Activity to rest,5.19217101374412,0.6247794809446746,12,0.45325362030172606,0.053725054788936674,12,11.376861531943542,2.021429793450871,12,0.18220214914587887,0.02709565976269938,12,0.1803583007537813,0.3535022694774113,0.015509087422309992,0.030397811347727583,0.5835365176983951,1.1437315746888543,0.0078218432289325,0.0153308127287077,63.29127232226025
Rule-based,HF severity change,7.083460637030889,0.8238832852723491,12,0.6399275673278619,0.10046169271665482,12,16.692067489627604,1.745510126437593,12,0.30510263662551645,0.034230367681561034,12,0.237834618266412,0.4661558518021675,0.029000792666603065,0.05684155362654201,0.503885370685981,0.9876153265445229,0.009881455997704566,0.01936765375550095,33.005542472297805
Fixed-speed,Rest to activity,7.235387082811298,0.8862522497251777,12,0.6935666266321404,0.0911284626462229,12,22.11369122634081,2.1028300811664375,12,0.034229830711425276,0.008813668373527792,12,0.2558389874743714,0.5014444154497679,0.026306521219816775,0.051560781590840876,0.6070347567107427,1.1897881231530556,0.002544286904002181,0.0049868023318442745,41.853782978928386
Fixed-speed,Activity to rest,6.550757811265259,0.6045880431406744,12,0.6605959782100732,0.08014908615201441,12,19.337444722830423,2.6106921961690555,12,0.041147999360701334,0.008365573820657488,12,0.17452953472804872,0.3420778880669755,0.023137048232584015,0.04534861453586467,0.7536419211147297,1.4771381653848703,0.0024149331486411434,0.004733268971336641,48.95496476424986
Fixed-speed,HF severity change,8.956587510181022,0.8850635616187063,12,0.8404099270905682,0.08570559240468165,12,25.29347026693489,2.971544484244423,12,0.03795356026253843,0.012089719408518128,12,0.2554958427752445,0.5007718518394793,0.02474107342294965,0.04849250390898131,0.8578110039437327,1.681309567729716,0.0034900013774674925,0.006840402699836285,24.745149978939935
