controller,scenario,run,MAP RMSE (mmHg),Flow RMSE (L/min),Settling time (s),Speed variation (krpm)
Proposed CNN-Transformer,Rest to activity,1,3.445572764797629,0.28076106170699383,4.775288319997799,0.2772513302834175
Proposed CNN-Transformer,Rest to activity,2,3.027425765245949,0.2753656487570309,5.6970932811337756,0.37759844919172614
Proposed CNN-Transformer,Rest to activity,3,2.7341931036061453,0.23314924319680252,5.461856631966594,0.3743675411929813
Proposed CNN-Transformer,Rest to activity,4,3.022746882146414,0.18696616338444683,7.215012059597161,0.33841092713857873
Proposed CNN-Transformer,Rest to activity,5,3.003811950400421,0.2085735629509088,7.30328082243159,0.3690028571850056
Proposed CNN-Transformer,Rest to activity,6,3.442705685247864,0.16762789439288567,5.823950161821779,0.311750307477067
Proposed CNN-Transformer,Rest to activity,7,2.972616302412638,0.2115845730365252,6.647424828223127,0.34294978537153
Proposed CNN-Transformer,Rest to activity,8,2.7935989737244085,0.28752472093024184,5.2071083318438385,0.27763179240027397
Proposed CNN-Transformer,Rest to activity,9,1.576809636920139,0.22063157681252793,5.970816042647925,0.2702278651965354
Proposed CNN-Transformer,Rest to activity,10,3.1552199045804006,0.2254819168572115,3.4513895927131175,0.388463590724441
Proposed CNN-Transformer,Rest to activity,11,3.17059273157021,0.24125874175517328,4.345556177581011,0.3232628904686716
Proposed CNN-Transformer,Rest to activity,12,3.634175677869617,0.30720493967077245,6.260958787186009,0.33568565341469875
Proposed CNN-Transformer,Activity to rest,1,2.502559383250717,0.19391536019140235,4.85874178467278,0.2836006636462317
Proposed CNN-Transformer,Activity to rest,2,2.2905836577193632,0.24921653444244987,4.168682106678572,0.3236374222171216
Proposed CNN-Transformer,Activity to rest,3,2.652577511536417,0.2522537710648802,5.828616806574594,0.2612887998660255
Proposed CNN-Transformer,Activity to rest,4,1.9226314447755692,0.2925350647154833,5.896894754980212,0.303492769321616
Proposed CNN-Transformer,Activity to rest,5,2.3464872444315135,0.22722978390932422,5.092001390952813,0.2312698510965533
Proposed CNN-Transformer,Activity to rest,6,2.4739313845695663,0.1954229358905483,6.694264962995293,0.21771509526587973
Proposed CNN-Transformer,Activity to rest,7,2.714185552408087,0.2534381852824982,6.262167579667592,0.24727838886626452
Proposed CNN-Transformer,Activity to rest,8,2.116193813213922,0.2301301152022893,5.968178225837521,0.2688363472732789
Proposed CNN-Transformer,Activity to rest,9,3.189376939979351,0.27274239441140596,4.549092571818468,0.25153864187320585
Proposed CNN-Transformer,Activity to rest,10,2.5166288812909166,0.21015448263409328,6.209824172967487,0.2787061294838779
Proposed CNN-Transformer,Activity to rest,11,3.6033613319352074,0.23843140367643376,5.3551489195068855,0.2656829999726413
Proposed CNN-Transformer,Activity to rest,12,2.847846283399517,0.1875432878144393,6.33284380520984,0.23830376418027058
Proposed CNN-Transformer,HF severity change,1,2.8138191354106485,0.34606124970095586,7.77703456789671,0.3264912285300623
Proposed CNN-Transformer,HF severity change,2,3.7132561528056267,0.3119570773752305,7.930189577540738,0.4404189643276322
Proposed CNN-Transformer,HF severity change,3,3.973083634943739,0.2649552745555336,7.570440268157842,0.45358548737830706
Proposed CNN-Transformer,HF severity change,4,3.8584326346003115,0.33381637542073767,5.197929105033316,0.3823442933146202
Proposed CNN-Transformer,HF severity change,5,3.9900824066927774,0.30140630952393027,6.832003261333967,0.3810717036334602
Proposed CNN-Transformer,HF severity change,6,3.358233939117091,0.19923423622799072,6.587820935391409,0.31789359647551246
Proposed CNN-Transformer,HF severity change,7,3.588196168584667,0.28203966128045554,7.028681475606579,0.38187045197027086
Proposed CNN-Transformer,HF severity change,8,3.591038055888527,0.22978714058054017,6.922973158525692,0.4632839257037158
Proposed CNN-Transformer,HF severity change,9,3.1701608260789507,0.39431201135999383,6.090453534600359,0.3442802783805369
Proposed CNN-Transformer,HF severity change,10,3.838609601724298,0.34062396724101573,9.45765261270213,0.451516962549314
Proposed CNN-Transformer,HF severity change,11,3.123370378678651,0.31673770300679427,7.941042028480202,0.40691090962244936
Proposed CNN-Transformer,HF severity change,12,3.1525984854263225,0.27258590736474725,6.435926830072894,0.44452659207199513
MLP Actor-Critic,Rest to activity,1,5.937191257660294,0.6928833706592586,14.481636165503952,0.23189303546459686
MLP Actor-Critic,Rest to activity,2,5.782924257074854,0.4938171790535945,18.17101950281166,0.23825254016439207
MLP Actor-Critic,Rest to activity,3,5.74838945481839,0.7539444417055733,15.511951766182047,0.21863707571571714
MLP Actor-Critic,Rest to activity,4,7.657468350068868,0.5567424657361907,16.145391869190732,0.19891503837638752
MLP Actor-Critic,Rest to activity,5,7.096713726771945,0.5408833000795519,15.143344901314686,0.20729453337495832
MLP Actor-Critic,Rest to activity,6,5.987778026045805,0.7751932402233745,14.559771642132443,0.2587781692758456
MLP Actor-Critic,Rest to activity,7,7.662846509740026,0.560057432139121,11.60248810161117,0.20923631616980842
MLP Actor-Critic,Rest to activity,8,5.819615702735585,0.5794794457350002,15.019799211259967,0.2249062517497799
MLP Actor-Critic,Rest to activity,9,7.02687623001979,0.6715338844095882,14.45197630130179,0.25548244439741946
MLP Actor-Critic,Rest to activity,10,5.810085344574124,0.5552419723353036,15.5941035801845,0.2253024685154648
MLP Actor-Critic,Rest to activity,11,6.287979180043833,0.5159939386917488,12.484481456991423,0.239959464647817
MLP Actor-Critic,Rest to activity,12,6.415849391383976,0.7087658517442164,15.750884658757919,0.21537092824236562
MLP Actor-Critic,Activity to rest,1,4.870162174624682,0.6355360305233501,15.596715443535306,0.25440454829819653
MLP Actor-Critic,Activity to rest,2,6.3615125175695075,0.4737471266480016,13.277999779011596,0.22945393539061748
MLP Actor-Critic,Activity to rest,3,5.003445352411055,0.5761443995995175,10.404016767854642,0.27973774827268955
MLP Actor-Critic,Activity to rest,4,6.094558635068699,0.5526899668498598,12.629792922226336,0.2664050965738459
MLP Actor-Critic,Activity to rest,5,5.3876104077572755,0.5225541464466753,13.078828292156963,0.24889919778911446
MLP Actor-Critic,Activity to rest,6,6.368485227651786,0.560824529119805,11.692916922389072,0.1480930223043279
MLP Actor-Critic,Activity to rest,7,7.376474120837379,0.6247985483667624,14.464739481013789,0.17537285164339347
MLP Actor-Critic,Activity to rest,8,5.509323463770147,0.6360300243022381,13.114903495044235,0.2650337103814392
MLP Actor-Critic,Activity to rest,9,6.003679075975643,0.6054502839014676,11.278718208709561,0.2538002585890158
MLP Actor-Critic,Activity to rest,10,6.275850291689474,0.6830679787753147,10.835295623919533,0.2440694788620595
MLP Actor-Critic,Activity to rest,11,5.98998379661964,0.5532828796795259,11.76431652409617,0.21418293869790989
MLP Actor-Critic,Activity to rest,12,5.4712063044527035,0.614012696663456,9.383713432021615,0.1602292714697913
MLP Actor-Critic,HF severity change,1,7.533197603540961,0.6786641424866257,15.188487938570567,0.3443640008525358
MLP Actor-Critic,HF severity change,2,7.05923239170678,0.722275957889856,18.959798773506325,0.339971812072575
MLP Actor-Critic,HF severity change,3,7.01200884476518,0.7387573385730186,18.488164715147803,0.29537133887659467
MLP Actor-Critic,HF severity change,4,7.1818568856331755,0.8130317268381128,17.45081394918078,0.28861423049118146
MLP Actor-Critic,HF severity change,5,8.040137503191552,0.7875657777906692,18.353238198230294,0.21881710972709412
MLP Actor-Critic,HF severity change,6,7.3810783570734255,0.8586151730787537,15.679180278754902,0.36094038820725566
MLP Actor-Critic,HF severity change,7,8.24547980354181,0.6778626004189663,17.119317315827235,0.30518225177108976
MLP Actor-Critic,HF severity change,8,9.11450212166372,0.8104406081529828,16.9750332400562,0.3248914830308702
MLP Actor-Critic,HF severity change,9,7.648513551020596,0.8191446961171004,16.741813110804852,0.2625994212440815
MLP Actor-Critic,HF severity change,10,8.929431291900602,0.9475051909260156,16.10138800539017,0.25699307996663145
MLP Actor-Critic,HF severity change,11,8.439432362052116,0.5039371542248535,14.92336788751957,0.3194530754166163
MLP Actor-Critic,HF severity change,12,7.57071078994042,0.7868066738380828,18.184596016226976,0.24919766371388233
Transformer-only Actor-Critic,Rest to activity,1,4.59904660603992,0.6338609513545554,8.574347010605017,0.37784701961090544
Transformer-only Actor-Critic,Rest to activity,2,3.9012656454217796,0.3954643612206342,9.969694984277476,0.2678604160557602
Transformer-only Actor-Critic,Rest to activity,3,5.061703204494865,0.4547874987694147,9.650622041059735,0.3390453882488725
Transformer-only Actor-Critic,Rest to activity,4,5.904845159890964,0.3725041413973517,8.807898582970727,0.31317838462036773
Transformer-only Actor-Critic,Rest to activity,5,4.295583967157216,0.3960082331087355,9.64013436813382,0.3564615513098518
Transformer-only Actor-Critic,Rest to activity,6,5.191490461379019,0.4569157307123104,8.3473386961237,0.29840179624584
Transformer-only Actor-Critic,Rest to activity,7,4.68899359081881,0.4174978139052122,10.39276767299444,0.3355004506903613
Transformer-only Actor-Critic,Rest to activity,8,4.937739245863969,0.5173912890384817,11.605314347677037,0.3143261908922495
Transformer-only Actor-Critic,Rest to activity,9,3.7125810629442615,0.5247631236237845,7.525584166496345,0.33822059590392495
Transformer-only Actor-Critic,Rest to activity,10,4.189475408533737,0.5825079862067907,8.6922967284602,0.4398408206789229
Transformer-only Actor-Critic,Rest to activity,11,4.305552381448609,0.3958264560372212,11.063779391406635,0.3610597878595004
Transformer-only Actor-Critic,Rest to activity,12,3.882872956607409,0.6565645718100653,9.125627703482152,0.32099783027668133
Transformer-only Actor-Critic,Activity to rest,1,3.9840413367163316,0.38165238630048165,8.476158097130043,0.2884000045557179
Transformer-only Actor-Critic,Activity to rest,2,4.846432395492963,0.38872828232313583,8.465684804144125,0.29723787950666103
Transformer-only Actor-Critic,Activity to rest,3,4.760714035982465,0.47227215320895627,11.230116375391539,0.31354106846474805
Transformer-only Actor-Critic,Activity to rest,4,4.135486262301849,0.3774273034584113,11.422410920110316,0.21063542737094162
Transformer-only Actor-Critic,Activity to rest,5,4.110646214111105,0.3874623406517154,10.20409937983858,0.37651521208205657
Transformer-only Actor-Critic,Activity to rest,6,5.135629097111912,0.4369995464282027,10.080528474259015,0.2802780595738689
Transformer-only Actor-Critic,Activity to rest,7,5.604433009942188,0.4386654161400822,7.494839871561059,0.31222343497365196
Transformer-only Actor-Critic,Activity to rest,8,4.709006810003948,0.3155495343288186,7.422548427006586,0.22462071114499463
Transformer-only Actor-Critic,Activity to rest,9,4.674576670217583,0.3743312980178771,7.687082078384144,0.2880153022739982
Transformer-only Actor-Critic,Activity to rest,10,4.038141778032541,0.37888047393797486,8.452193280860836,0.27529932116916034
Transformer-only Actor-Critic,Activity to rest,11,3.852029776338484,0.4201751389211931,7.665888297092977,0.2298654593811342
Transformer-only Actor-Critic,Activity to rest,12,4.826477776778889,0.4759736799739019,9.11283580450562,0.271770548892897
Transformer-only Actor-Critic,HF severity change,1,5.880291667430632,0.5245670930244486,13.695209126492813,0.43702834757874215
Transformer-only Actor-Critic,HF severity change,2,6.980481010878908,0.46062852124762754,9.674028545948715,0.47952953603292425
Transformer-only Actor-Critic,HF severity change,3,6.739588465848473,0.5276798649809475,14.84922093612579,0.4538700791099131
Transformer-only Actor-Critic,HF severity change,4,5.328600994476878,0.6563342340072952,13.296866589775473,0.3705895126705221
Transformer-only Actor-Critic,HF severity change,5,5.7497793764302205,0.6987142914130209,12.618604925397396,0.3969585597551941
Transformer-only Actor-Critic,HF severity change,6,5.053601748519895,0.5825133474200928,14.91680491294414,0.35443483478717464
Transformer-only Actor-Critic,HF severity change,7,6.709380872413346,0.5814315480052916,13.885998455994393,0.41124116498934893
Transformer-only Actor-Critic,HF severity change,8,5.295683570907516,0.6797014147719471,12.799237441301274,0.39281291407935176
Transformer-only Actor-Critic,HF severity change,9,5.922755620687059,0.5513495494035289,13.422926312418832,0.3680595277145309
Transformer-only Actor-Critic,HF severity change,10,6.4656175919008545,0.39227091123270025,13.703832728031715,0.3771257215438303
Transformer-only Actor-Critic,HF severity change,11,4.970539042169933,0.5026731017147197,13.225555205810286,0.46356749590667584
Transformer-only Actor-Critic,HF severity change,12,6.357426781158024,0.5616531042717591,13.410269416409413,0.39206479549180456
CNN-only Actor-Critic,Rest to activity,1,5.909910196458595,0.5687930234012618,11.888573915403375,0.17967902052025267
CNN-only Actor-Critic,Rest to activity,2,5.6561446768559485,0.3926567592309643,11.562509411494858,0.20147331009983818
CNN-only Actor-Critic,Rest to activity,3,6.44492867231699,0.46393850341834875,10.399903311347845,0.18948389411536626
CNN-only Actor-Critic,Rest to activity,4,5.094398117822506,0.5264411897373752,12.428679303517507,0.2114757722393184
CNN-only Actor-Critic,Rest to activity,5,4.174352522943114,0.5965255968965468,11.676577236050866,0.23723129897922646
CNN-only Actor-Critic,Rest to activity,6,5.035361451252057,0.43974354669126436,14.235022230772302,0.20382875172833678
CNN-only Actor-Critic,Rest to activity,7,5.3363122192162304,0.5764753783348293,9.500706892261466,0.230112945865303
CNN-only Actor-Critic,Rest to activity,8,4.827738513612089,0.43579432142797897,12.774728273299633,0.16286691617655982
CNN-only Actor-Critic,Rest to activity,9,5.11328084517234,0.52828713902186,13.031690269888845,0.14271823303815845
CNN-only Actor-Critic,Rest to activity,10,4.373040426123401,0.40418840288560903,12.214487106205322,0.2741467026641852
CNN-only Actor-Critic,Rest to activity,11,5.388668075189911,0.46776294307712973,13.549866624412509,0.16295997622303582
CNN-only Actor-Critic,Rest to activity,12,5.851767854500404,0.5812677288271053,11.291381553857647,0.19160864278912887
CNN-only Actor-Critic,Activity to rest,1,5.860399245652397,0.4156317589128304,10.241194602931934,0.21134102645756056
CNN-only Actor-Critic,Activity to rest,2,5.126270979069951,0.58260154985635,8.536465013040482,0.15813130614645846
CNN-only Actor-Critic,Activity to rest,3,4.468037456974777,0.4348849382966226,13.311001177746485,0.21545836959118703
CNN-only Actor-Critic,Activity to rest,4,4.693477621327839,0.5505991932155112,11.029381569621064,0.1841247398864561
CNN-only Actor-Critic,Activity to rest,5,4.75564933480522,0.5211577648557039,9.195997560471909,0.20220746445566654
CNN-only Actor-Critic,Activity to rest,6,4.893466745069571,0.4730794118738389,8.613037921269358,0.2223420183838452
CNN-only Actor-Critic,Activity to rest,7,4.601355382677666,0.5362340770145343,10.94160425778913,0.21551068288558162
CNN-only Actor-Critic,Activity to rest,8,4.973838002183474,0.3963180128946365,10.602624527034656,0.21501223309932527
CNN-only Actor-Critic,Activity to rest,9,4.7609198734172535,0.4962661077138899,9.345867805548702,0.25871972409194427
CNN-only Actor-Critic,Activity to rest,10,4.616088186726209,0.46488919330814094,11.820582929674716,0.1771270585616409
CNN-only Actor-Critic,Activity to rest,11,5.890543346603348,0.5848980906001002,13.325383012550967,0.18072393761127098
CNN-only Actor-Critic,Activity to rest,12,4.889659474371458,0.5217289901847405,12.121623162358318,0.20267705497833127
CNN-only Actor-Critic,HF severity change,1,6.487496757077764,0.6646567137199475,17.245031525972905,0.1401503628139464
CNN-only Actor-Critic,HF severity change,2,5.871505965065819,0.7142032204596165,16.08313636704414,0.32504619975481674
CNN-only Actor-Critic,HF severity change,3,6.089942493844843,0.6219958351066412,16.812371788723883,0.29583453182875386
CNN-only Actor-Critic,HF severity change,4,6.040173575554774,0.6936788732097597,15.459668130200674,0.14571932281276181
CNN-only Actor-Critic,HF severity change,5,5.997183533270774,0.7329756269038327,17.56669636061205,0.31063745249239294
CNN-only Actor-Critic,HF severity change,6,5.68356183877752,0.6376723764981154,11.618782206138816,0.2517562479063258
CNN-only Actor-Critic,HF severity change,7,6.503969516565931,0.615747845560629,13.322868364245378,0.23535956623166612
CNN-only Actor-Critic,HF severity change,8,7.435667479175198,0.5853192287747258,14.411894989064042,0.35254519365805087
CNN-only Actor-Critic,HF severity change,9,6.541198289731698,0.5743379610316612,18.424670456673084,0.25420342372527094
CNN-only Actor-Critic,HF severity change,10,6.091757527900288,0.507711641160059,15.489438478806425,0.3307544885680982
CNN-only Actor-Critic,HF severity change,11,5.780697251138652,0.5798611178794024,12.467437646661402,0.21568688631978658
CNN-only Actor-Critic,HF severity change,12,8.045117861150702,0.631523016273132,14.066836017280348,0.23248682762186998
Reward ablation baseline,Rest to activity,1,3.8134862490990153,0.29260530616918595,7.979633867057006,0.5741190102027053
Reward ablation baseline,Rest to activity,2,3.496167803327337,0.3687584103036403,6.958544415914581,0.587850987795542
Reward ablation baseline,Rest to activity,3,3.4632800341730414,0.2911499524414389,8.074404082446238,0.447861193310553
Reward ablation baseline,Rest to activity,4,4.044386133851103,0.32733497388525473,8.868762668859468,0.5306822894256175
Reward ablation baseline,Rest to activity,5,3.9508588860924507,0.22495380096874662,7.677023321047076,0.5561087995748182
Reward ablation baseline,Rest to activity,6,3.7567616681172007,0.42079658014739413,8.51115638538382,0.5920924563385063
Reward ablation baseline,Rest to activity,7,4.169960606279614,0.43447452506839357,7.690116378299995,0.44248334227675146
Reward ablation baseline,Rest to activity,8,3.989035835457366,0.3479183142991859,5.958974023294713,0.5101772260816398
Reward ablation baseline,Rest to activity,9,4.11379301893626,0.4310721235596024,10.092404345233623,0.6357910771451534
Reward ablation baseline,Rest to activity,10,3.763207452323737,0.39798028738905356,8.818089018174138,0.4449438964451302
Reward ablation baseline,Rest to activity,11,3.8526467378435196,0.2994780728956743,9.03155625031652,0.5720290995070851
Reward ablation baseline,Rest to activity,12,4.432059057662215,0.3061621041554534,6.72207581833383,0.53682971108155
Reward ablation baseline,Activity to rest,1,3.4665003686989895,0.3077726454942422,7.80617956383974,0.488490509318839
Reward ablation baseline,Activity to rest,2,3.7018769010667674,0.3431326299181189,9.461352429986214,0.6469419520659703
Reward ablation baseline,Activity to rest,3,4.803731524892514,0.37531479615927316,8.20296209247122,0.4889098100324501
Reward ablation baseline,Activity to rest,4,3.8593435929789845,0.37601413690059315,8.91168387468267,0.34901480691996534
Reward ablation baseline,Activity to rest,5,3.2570667406346883,0.3437857626113313,6.6827109494889285,0.5211519414137684
Reward ablation baseline,Activity to rest,6,4.553811574600592,0.34563766138544116,8.274674838389657,0.45543410581262844
Reward ablation baseline,Activity to rest,7,3.6934216451395856,0.3237580405686009,7.1422306831848115,0.5684048562595613
Reward ablation baseline,Activity to rest,8,2.9377934956602996,0.256386821120935,7.53831722194239,0.525401195632366
Reward ablation baseline,Activity to rest,9,3.346306042963309,0.29901932898807504,8.217794912998741,0.4282619062827307
Reward ablation baseline,Activity to rest,10,3.97973619558412,0.36076110483634927,7.1569882361560415,0.6331355905734796
Reward ablation baseline,Activity to rest,11,2.8409777139103176,0.31978141356051615,7.764128962505933,0.4614305296103577
Reward ablation baseline,Activity to rest,12,4.050506962497548,0.38747594472085234,6.7846868856580995,0.47921381073499997
Reward ablation baseline,HF severity change,1,5.501694084385658,0.44567958081467135,11.352595418216797,0.6099898718368867
Reward ablation baseline,HF severity change,2,4.560862917981418,0.4405851160244164,8.876161597719031,0.5931129273510612
Reward ablation baseline,HF severity change,3,4.666986747461075,0.4533344036809987,10.641930413735171,0.5981585860258468
Reward ablation baseline,HF severity change,4,4.607752213832556,0.4870703883794855,10.70559824217992,0.7062701823589199
Reward ablation baseline,HF severity change,5,4.525383871823396,0.3883886635572884,9.830362093053449,0.5927865160949283
Reward ablation baseline,HF severity change,6,4.175557100955752,0.4149170319683854,11.446004192605049,0.45986247422153936
Reward ablation baseline,HF severity change,7,5.615978964080273,0.39536068989605855,10.17304026863247,0.5901138379510094
Reward ablation baseline,HF severity change,8,5.478745751783464,0.4565426551383931,14.796188612257483,0.5943667820197297
Reward ablation baseline,HF severity change,9,3.9149467439686907,0.6309440565121102,12.595278659463522,0.5517761901302114
Reward ablation baseline,HF severity change,10,4.228677623113278,0.33339490563195967,14.20868428525002,0.6998277164209605
Reward ablation baseline,HF severity change,11,5.1688977399966145,0.48442356744547604,10.015558979374134,0.6479775279021643
Reward ablation baseline,HF severity change,12,5.861210485372955,0.5382145090946181,9.088453974785006,0.7705191121494576
Fixed-speed baseline,Rest to activity,1,7.371512566425424,0.634517975237857,24.701174225439125,0.04339592069679847
Fixed-speed baseline,Rest to activity,2,8.030627190105916,0.5908292122391903,22.651902741746294,0.027392936187843206
Fixed-speed baseline,Rest to activity,3,5.9083663396743935,0.6872577387754603,23.84965401911339,0.034551616545159744
Fixed-speed baseline,Rest to activity,4,8.280461504270015,0.8004119689784782,22.229353014335235,0.03223604225680137
Fixed-speed baseline,Rest to activity,5,7.635783455277083,0.7477150508677821,21.910140672529593,0.03006295638931531
Fixed-speed baseline,Rest to activity,6,7.232991138747565,0.7201798546006715,18.570304618530688,0.04967480921800341
Fixed-speed baseline,Rest to activity,7,7.936584538321839,0.6881614204919982,19.052859474892166,0.041897059712279985
Fixed-speed baseline,Rest to activity,8,6.291001462335793,0.7452162798608516,21.039691320026296,0.03874885258182232
Fixed-speed baseline,Rest to activity,9,7.841468432094722,0.6804293053393633,21.32926716979146,0.03209493997479314
Fixed-speed baseline,Rest to activity,10,7.165497962660028,0.7925840159632284,19.00342317281271,0.041542409587228414
Fixed-speed baseline,Rest to activity,11,7.300578188758816,0.7820965708743584,17.72377599062582,0.03968153642422333
Fixed-speed baseline,Rest to activity,12,7.683192597898373,0.733032436094687,22.95173199690677,0.038469398915632114
Fixed-speed baseline,Activity to rest,1,6.136988131045962,0.7812938987554985,21.9700945225747,0.06051600700094202
Fixed-speed baseline,Activity to rest,2,6.808886769985058,0.7359322208750809,16.406222201310523,0.027148894586591664
Fixed-speed baseline,Activity to rest,3,5.7670847707030735,0.6436989108589911,20.765878138506736,0.028812765756688584
Fixed-speed baseline,Activity to rest,4,6.237955635087602,0.7016277870903982,17.95180408599336,0.0417726294833416
Fixed-speed baseline,Activity to rest,5,7.03509848334708,0.6711059324894921,20.01178858962093,0.041656998838899145
Fixed-speed baseline,Activity to rest,6,7.357839672514472,0.5496938425301016,16.983626804147256,0.036341510258908354
Fixed-speed baseline,Activity to rest,7,6.111940868537704,0.6442609202849681,15.45273794803606,0.038786499423090974
Fixed-speed baseline,Activity to rest,8,6.618028602265441,0.6621571728558039,18.070803330339828,0.054983827602031174
Fixed-speed baseline,Activity to rest,9,5.891395940977369,0.47395907467487225,23.57276720477544,0.030168315269129706
Fixed-speed baseline,Activity to rest,10,7.995590479404185,0.6286198208745815,19.764976697140025,0.04545918772771448
Fixed-speed baseline,Activity to rest,11,7.03906491104986,0.7140630109392616,17.846763550552637,0.02
Fixed-speed baseline,Activity to rest,12,6.516977043254705,0.6858735514564555,17.74898871034227,0.046424174628468685
Fixed-speed baseline,HF severity change,1,9.729766072873252,0.6140594705265401,31.120575248133893,0.03472002605840191
Fixed-speed baseline,HF severity change,2,8.931776413026993,1.0154951491625521,23.41873801231599,0.02635534500148527
Fixed-speed baseline,HF severity change,3,9.145049003408436,0.7165460576032482,23.774164435145412,0.045024178889886926
Fixed-speed baseline,HF severity change,4,7.504194640354018,0.7977298048275588,28.747353800799623,0.04122058458164575
Fixed-speed baseline,HF severity change,5,8.041802238539402,0.8804231752688785,24.002347357445494,0.040016798499166076
Fixed-speed baseline,HF severity change,6,8.002311348932826,0.8001431919907673,26.374758191672168,0.04494798957851885
Fixed-speed baseline,HF severity change,7,9.070891772167395,0.8228739683411487,23.33469451838489,0.029960602867029913
Fixed-speed baseline,HF severity change,8,9.470081928318017,0.7214527111849756,32.0,0.03614718292299768
Fixed-speed baseline,HF severity change,9,8.873633850374913,0.7486634127275195,31.437435067871323,0.031006350052806896
Fixed-speed baseline,HF severity change,10,10.690588124656028,0.9143406015647093,21.56188985319881,0.05190046952483319
Fixed-speed baseline,HF severity change,11,9.277594343058531,0.8561982812485787,27.102621941599146,0.04108903861350995
Fixed-speed baseline,HF severity change,12,7.559924533670441,0.775246860537222,21.55276993367549,0.05386178292575596
