time_s,controller,relative_demand,target_flow_L_min,MAP_mmHg,Pump_flow_L_min,Pump_speed_krpm
0.0,Proposed CNN-Transformer,1.1750631474976552e-38,4.2,80.03543706915056,4.2,8.2
0.5,Proposed CNN-Transformer,2.430686531144583e-38,4.2,79.97183157883751,4.218639803833411,8.199108433097638
1.0,Proposed CNN-Transformer,5.012521954904135e-38,4.2,80.15618516663253,4.215239934169548,8.1969806698207
1.5,Proposed CNN-Transformer,1.0304886343248124e-37,4.2,80.06842335445285,4.259601904486421,8.193517953209914
2.0,Proposed CNN-Transformer,2.111979553307528e-37,4.2,80.2307006137305,4.290663940791299,8.210066271384122
2.5,Proposed CNN-Transformer,4.3151490120458e-37,4.2,80.1998769181001,4.27130331155351,8.228486283998116
3.0,Proposed CNN-Transformer,8.789445358187936e-37,4.2,80.26090188571025,4.2732076766418725,8.245824408717569
3.5,Proposed CNN-Transformer,1.7847883751484113e-36,4.2,80.12081918562076,4.254789080746406,8.278412556120818
4.0,Proposed CNN-Transformer,3.6130300323853646e-36,4.2,80.3645820977267,4.232339707653437,8.295072389656825
4.5,Proposed CNN-Transformer,7.291485213576366e-36,4.2,80.416583356517,4.226462257635696,8.286729911656309
5.0,Proposed CNN-Transformer,1.4669658782553827e-35,4.2,80.46102465139272,4.206243303588279,8.295559930600602
5.5,Proposed CNN-Transformer,2.9422773598041807e-35,4.2,80.48626697668335,4.1953300371279925,8.276372687604914
6.0,Proposed CNN-Transformer,5.883107614922186e-35,4.2,80.45817749997856,4.160581030663852,8.257359238693118
6.5,Proposed CNN-Transformer,1.1727071154673626e-34,4.2,80.27349421475633,4.165706624096868,8.261370667078639
7.0,Proposed CNN-Transformer,2.3304077333497262e-34,4.2,80.17009880417649,4.160059778259565,8.259145726965782
7.5,Proposed CNN-Transformer,4.616723343363617e-34,4.2,80.12508558432583,4.165224963510961,8.27972284333531
8.0,Proposed CNN-Transformer,9.117911502900016e-34,4.2,80.06424174617547,4.159592277730471,8.28114527178115
8.5,Proposed CNN-Transformer,1.7952150482346015e-33,4.2,80.097161389383,4.147924682647446,8.29708793898394
9.0,Proposed CNN-Transformer,3.523685767548875e-33,4.2,80.06887074324013,4.120431786351504,8.308930487229487
9.5,Proposed CNN-Transformer,6.895050470861781e-33,4.2,80.14034500465401,4.154218099324982,8.290855492014954
10.0,Proposed CNN-Transformer,1.3450465400052846e-32,4.2,80.17716337323161,4.150614871864157,8.263181425985227
10.5,Proposed CNN-Transformer,2.6157531603528343e-32,4.2,79.9954824121046,4.178613007863055,8.250438440862405
11.0,Proposed CNN-Transformer,5.071258991223678e-32,4.2,79.83659404588747,4.170394144947047,8.271266757159713
11.5,Proposed CNN-Transformer,9.801542054526966e-32,4.2,79.95141822748376,4.188147315104269,8.27465071846286
12.0,Proposed CNN-Transformer,1.8885679252166216e-31,4.2,79.78629970668159,4.2104672493574515,8.248276579137674
12.5,Proposed CNN-Transformer,3.627691908311167e-31,4.2,79.70884866253394,4.2266220233732135,8.264882092710403
13.0,Proposed CNN-Transformer,6.9468475457927755e-31,4.2,79.53570464022395,4.228837373571363,8.25071906727341
13.5,Proposed CNN-Transformer,1.326186872627722e-30,4.2,79.64651709245658,4.248650961729606,8.254313046668337
14.0,Proposed CNN-Transformer,2.5239530168261687e-30,4.2,79.80972206622391,4.257658886913941,8.225826147128968
14.5,Proposed CNN-Transformer,4.78869737991787e-30,4.2,79.84761309385499,4.232015368017856,8.21652083900699
15.0,Proposed CNN-Transformer,9.057599306310713e-30,4.2,79.8014406156021,4.2508900385065616,8.201028491311568
15.5,Proposed CNN-Transformer,1.7079234467860292e-29,4.2,79.68211985095643,4.244038577011189,8.188088155976425
16.0,Proposed CNN-Transformer,3.210578418169003e-29,4.2,79.7526223607843,4.204942654314002,8.184578974914539
16.5,Proposed CNN-Transformer,6.016691558435325e-29,4.2,79.82298080052873,4.208205157153803,8.180893294392778
17.0,Proposed CNN-Transformer,1.1240659681163615e-28,4.2,79.98336422271858,4.210585811550652,8.179259168452475
17.5,Proposed CNN-Transformer,2.093560113651594e-28,4.2,79.96207083388141,4.183877098787384,8.158623716022328
18.0,Proposed CNN-Transformer,3.887215847662516e-28,4.2,79.79843678764774,4.196177141743521,8.151615148678857
18.5,Proposed CNN-Transformer,7.195342356220017e-28,4.2,79.93771030275171,4.1898704934124495,8.161597145398726
19.0,Proposed CNN-Transformer,1.3277730624197738e-27,4.2,79.89682784179766,4.166925480783212,8.150403595837384
19.5,Proposed CNN-Transformer,2.4426195535774756e-27,4.2,80.01274229895986,4.1482236490582896,8.137439225000403
20.0,Proposed CNN-Transformer,4.479684108455565e-27,4.2,80.04809512729058,4.156980818472033,8.154721583345303
20.5,Proposed CNN-Transformer,8.190275977336858e-27,4.2,80.16271370873876,4.162217002826004,8.142454114699493
21.0,Proposed CNN-Transformer,1.4928262616195027e-26,4.2,80.15845725397918,4.178304729954767,8.126369518362527
21.5,Proposed CNN-Transformer,2.7125614293287284e-26,4.2,80.20566721819064,4.184527962646404,8.149119479299387
22.0,Proposed CNN-Transformer,4.913709560409186e-26,4.2,80.10576309170362,4.2074450411394295,8.166730109444664
22.5,Proposed CNN-Transformer,8.873582023108572e-26,4.2,80.40851118087488,4.240615534734773,8.15564173548944
23.0,Proposed CNN-Transformer,1.5975263801376018e-25,4.2,80.4368987717957,4.276565875453898,8.154717907902905
23.5,Proposed CNN-Transformer,2.86719145556399e-25,4.2,80.44059169604216,4.247533603696852,8.165023168639266
24.0,Proposed CNN-Transformer,5.130089406446606e-25,4.2,80.04156515247671,4.236677517136772,8.141731722545064
24.5,Proposed CNN-Transformer,9.150667165501178e-25,4.2,80.15914221522914,4.254724867830693,8.13049226984605
25.0,Proposed CNN-Transformer,1.6271971288669636e-24,4.2,80.09200607429352,4.269212869545985,8.129941788598046
25.5,Proposed CNN-Transformer,2.8846103957668404e-24,4.2,80.10420770155254,4.2647408583243145,8.14027434515197
26.0,Proposed CNN-Transformer,5.0979285496671616e-24,4.2,80.17413981654566,4.225229365085031,8.13793667015603
26.5,Proposed CNN-Transformer,8.981728213427777e-24,4.2,80.28760283943046,4.205089453807012,8.108174694025436
27.0,Proposed CNN-Transformer,1.5775591758050424e-23,4.2,80.25591853997948,4.17266858845364,8.110582615252275
27.5,Proposed CNN-Transformer,2.762300956524203e-23,4.2,80.34598636643729,4.160861599931064,8.12114754508558
28.0,Proposed CNN-Transformer,4.8218746199097946e-23,4.2,80.54323561837394,4.173287436130461,8.138605688480327
28.5,Proposed CNN-Transformer,8.391129394700477e-23,4.2,80.58860325368781,4.17659638587089,8.125209162810249
29.0,Proposed CNN-Transformer,1.4557423203843056e-22,4.2,80.61990919411278,4.184689218298589,8.139435304904858
29.5,Proposed CNN-Transformer,2.517724361833868e-22,4.2,80.6492887147327,4.15172656567082,8.166282098135053
30.0,Proposed CNN-Transformer,1.0,5.2,78.46198383853238,5.057776438328417,8.285396344950337
30.5,Proposed CNN-Transformer,1.0,5.2,78.792788406663,5.068643389459827,8.390240098901378
31.0,Proposed CNN-Transformer,1.0,5.2,79.1032491705747,5.088551326151847,8.475142115577416
31.5,Proposed CNN-Transformer,1.0,5.2,79.18611602036437,5.084360858498612,8.573397614673622
32.0,Proposed CNN-Transformer,1.0,5.2,79.4607784334121,5.098722523151187,8.665027704211234
32.5,Proposed CNN-Transformer,1.0,5.2,79.65212269993802,5.104663137795102,8.710166282411707
33.0,Proposed CNN-Transformer,1.0,5.2,79.57992353107173,5.150257962439122,8.776844390979235
33.5,Proposed CNN-Transformer,1.0,5.2,79.83283227669828,5.127112669490811,8.842142265642648
34.0,Proposed CNN-Transformer,1.0,5.2,79.80075454555089,5.150460563598986,8.896285578103127
34.5,Proposed CNN-Transformer,1.0,5.2,80.08239535851673,5.155936967891366,8.936413774444857
35.0,Proposed CNN-Transformer,1.0,5.2,80.26418884500035,5.17753307248437,8.994302618116835
35.5,Proposed CNN-Transformer,1.0,5.2,80.44153751935778,5.153799551268869,9.048690039308154
36.0,Proposed CNN-Transformer,1.0,5.2,80.60054347357011,5.167508127422329,9.084236904313604
36.5,Proposed CNN-Transformer,1.0,5.2,80.67104901280402,5.191789180144074,9.114206450279413
37.0,Proposed CNN-Transformer,1.0,5.2,80.57759983858315,5.185837900590151,9.138647940257988
37.5,Proposed CNN-Transformer,1.0,5.2,80.57946957951366,5.158283247062421,9.174583655216441
38.0,Proposed CNN-Transformer,1.0,5.2,80.43076045958986,5.192804809502016,9.183649338320711
38.5,Proposed CNN-Transformer,1.0,5.2,80.41825121045021,5.1940128841648985,9.209819645982835
39.0,Proposed CNN-Transformer,1.0,5.2,80.342188794398,5.183278114924188,9.240148008008015
