metric,baseline,mean_diff_baseline_minus_proposed,t_stat,p_raw,p_holm,p_wilcoxon,cohen_dz,significant_holm_0.05
MAP RMSE (mmHg),TD3,1.5455514062526932,13.314963298363459,3.9676944407998586e-08,3.9676944407998586e-08,0.00048828125,3.843698822280065,True
MAP RMSE (mmHg),DDPG,2.3938769958727737,21.902192596064403,2.0122816875770829e-10,6.036845062731249e-10,0.00048828125,6.322618395590406,True
MAP RMSE (mmHg),Reference DRL VAD controller,2.0325833662720774,18.686974581133477,1.1059203606805134e-09,2.211840721361027e-09,0.00048828125,5.394464902378553,True
MAP RMSE (mmHg),Model predictive control,1.9398646407527724,26.196427985942904,2.90615638432852e-11,1.162462553731408e-10,0.00048828125,7.562257374745391,True
MAP RMSE (mmHg),Starling-like control,3.2833440936097436,32.98420616721276,2.3740954444255143e-12,1.1870477222127572e-11,0.00048828125,9.5217201548232,True
MAP RMSE (mmHg),Fuzzy control,3.899776777075336,41.615270487904674,1.8763155237341535e-13,1.125789314240492e-12,0.00048828125,12.013293809295428,True
MAP RMSE (mmHg),PI control,4.363227897594766,47.58843489124491,4.323614911456907e-14,3.026530438019835e-13,0.00048828125,13.737597847386615,True
Flow RMSE (L/min),TD3,0.17813214583130632,17.752707050768034,1.9119578238610317e-09,1.9119578238610317e-09,0.00048828125,5.124765097302746,True
Flow RMSE (L/min),DDPG,0.2532016925462066,33.29244664940931,2.145203973069284e-12,1.2871223838415704e-11,0.00048828125,9.61070151750886,True
Flow RMSE (L/min),Reference DRL VAD controller,0.2057134984660395,20.344455170686384,4.4493738596334545e-10,8.898747719266909e-10,0.00048828125,5.8729383346560295,True
Flow RMSE (L/min),Model predictive control,0.18759630493512214,38.33039687703097,4.609174387083229e-13,3.2264220709582605e-12,0.00048828125,11.065032477549511,True
Flow RMSE (L/min),Starling-like control,0.3152953742392695,26.191368812641507,2.912247159078119e-11,8.736741477234358e-11,0.00048828125,7.560796917211671,True
Flow RMSE (L/min),Fuzzy control,0.3892724266935717,28.354374426445567,1.2310080790431508e-11,4.924032316172603e-11,0.00048828125,8.185202853905894,True
Flow RMSE (L/min),PI control,0.44341287481858654,31.39171671514315,4.070088157820706e-12,2.0350440789103532e-11,0.00048828125,9.062008047906186,True
Settling time (s),TD3,3.692482124083021,21.958055990111582,1.9578110587173794e-10,5.873433176152139e-10,0.00048828125,6.338744768385899,True
Settling time (s),DDPG,5.070770608346226,29.475509278685525,8.076616627249279e-12,4.8459699763495674e-11,0.00048828125,8.5088466082752,True
Settling time (s),Reference DRL VAD controller,4.749605044569112,35.17434694720942,1.1777219226629056e-12,8.244053458640339e-12,0.00048828125,10.153959339270328,True
Settling time (s),Model predictive control,3.0384003300856275,16.231083405987203,4.9546460276972925e-09,4.9546460276972925e-09,0.00048828125,4.68551018684299,True
Settling time (s),Starling-like control,6.455590667988314,23.05364042952736,1.1580784711275e-10,4.63231388451e-10,0.00048828125,6.655012753894231,True
Settling time (s),Fuzzy control,8.251792770702927,24.999880300948615,4.8223334659261883e-11,2.411166732963094e-10,0.00048828125,7.216843810730552,True
Settling time (s),PI control,9.946144613939396,19.520372842866564,6.932968410051836e-10,1.3865936820103673e-09,0.00048828125,5.635046257755436,True
Unsafe event rate (%),TD3,2.918811463901402,25.71062577473353,3.559720986084761e-11,1.0679162958254283e-10,0.00048828125,7.422018356038067,True
Unsafe event rate (%),DDPG,4.600756132591264,24.975237601221952,4.8740866149781924e-11,1.0679162958254283e-10,0.00048828125,7.209730076070179,True
Unsafe event rate (%),Reference DRL VAD controller,3.817891649336449,20.32712885318107,4.49026305748026e-10,4.49026305748026e-10,0.00048828125,5.86793665761815,True
Unsafe event rate (%),Model predictive control,3.2482491773146855,35.756014518828806,9.847279292666364e-13,4.923639646333182e-12,0.00048828125,10.32187230379699,True
Unsafe event rate (%),Starling-like control,5.989616779403225,40.82211029044598,2.315740246831812e-13,1.6210181727822682e-12,0.00048828125,11.78432818253879,True
Unsafe event rate (%),Fuzzy control,7.263562955935342,27.4969828608351,1.718153166588748e-11,6.872612666354992e-11,0.00048828125,7.937695228302836,True
Unsafe event rate (%),PI control,8.628395719371154,36.99026602319808,6.798750378805356e-13,4.079250227283214e-12,0.00048828125,10.67817002294464,True
