controller,scenario,run,MAP RMSE (mmHg),Flow RMSE (L/min),Settling time (s),Unsafe event rate (%)
Proposed CNN-Transformer PPO,Rest to activity,1,3.483929978912535,0.2801262634300799,6.172257722129598,3.3908939149543316
Proposed CNN-Transformer PPO,Rest to activity,2,3.4968671306249157,0.3138473206000121,7.0495961501242075,2.8678042415659917
Proposed CNN-Transformer PPO,Rest to activity,3,3.7305196638585483,0.28366386240020297,6.549279567096468,3.7204673222217144
Proposed CNN-Transformer PPO,Rest to activity,4,2.9410665373665204,0.22345578752058462,8.056928605389755,3.3763310229464345
Proposed CNN-Transformer PPO,Rest to activity,5,2.2713724187823594,0.22295010498654483,5.574822563358073,2.0533122775602806
Proposed CNN-Transformer PPO,Rest to activity,6,3.0018479167450014,0.30139484623330964,7.0799019364702716,3.2031252191987276
Proposed CNN-Transformer PPO,Rest to activity,7,3.210280022384955,0.25841948586959773,6.855452344083971,3.020576584948295
Proposed CNN-Transformer PPO,Rest to activity,8,3.0148062958606796,0.2573486497975422,6.172293158536733,2.498844486334251
Proposed CNN-Transformer PPO,Rest to activity,9,2.8561730221418307,0.2397241317954535,5.720923991324775,2.805411525896657
Proposed CNN-Transformer PPO,Rest to activity,10,3.284885599356174,0.26913163925375816,7.979925159105651,3.4752399063585377
Proposed CNN-Transformer PPO,Rest to activity,11,2.598134135499377,0.2137931162671286,6.687645538050036,3.5790233279052575
Proposed CNN-Transformer PPO,Rest to activity,12,2.7551212014479596,0.24728103934198403,6.953327526071844,3.6350757927279918
Proposed CNN-Transformer PPO,Activity to rest,1,2.643218153936302,0.21380116314165154,6.284913830992685,2.487187476411201
Proposed CNN-Transformer PPO,Activity to rest,2,2.743263899039057,0.24606796128845565,6.447395383738969,2.7338450208894347
Proposed CNN-Transformer PPO,Activity to rest,3,3.10355118240837,0.24899196356541284,5.817211453764233,2.3195247097835345
Proposed CNN-Transformer PPO,Activity to rest,4,3.1371882149571015,0.273165489350308,6.694372798356815,2.8735284222576647
Proposed CNN-Transformer PPO,Activity to rest,5,2.74938214109006,0.2763756501777978,4.812713592031889,2.6920584494458577
Proposed CNN-Transformer PPO,Activity to rest,6,2.7490014586313554,0.26164278546869024,6.847024003255508,2.4577592549587104
