controller,preload,afterload,MAP RMSE (mmHg)_mean,MAP RMSE (mmHg)_std,MAP RMSE (mmHg)_count,Unsafe Event Rate (%)_mean,Unsafe Event Rate (%)_std,Unsafe Event Rate (%)_count,MAP RMSE (mmHg)_sem,MAP RMSE (mmHg)_ci95,Unsafe Event Rate (%)_sem,Unsafe Event Rate (%)_ci95
Proposed CNN-Transformer,Low,Low,6.480835325422279,1.1567521055190837,40,5.497091304741012,1.1300392483477293,40,0.1828985670817867,0.35848119148030194,0.17867489350817456,0.3502027912760221
Proposed CNN-Transformer,Low,Reduced,6.102685732800536,0.9917213612038583,40,5.064507867553224,1.1984367952392996,40,0.15680491528233687,0.30733763395338026,0.18948949523545117,0.3713994106614843
Proposed CNN-Transformer,Low,Normal,5.840421495408334,0.7524796805383457,40,4.638379668494101,1.017103320630413,40,0.11897748417485246,0.23319586898271083,0.16081815544563155,0.31520358467343784
Proposed CNN-Transformer,Low,Elevated,6.244658012258642,0.9651049570488246,40,5.308103635090406,1.1100152291095151,40,0.15259649226966304,0.29908912484853956,0.17550881807298524,0.3439972834230511
Proposed CNN-Transformer,Low,High,7.4042907024166045,1.3092800658323798,40,6.491882987913951,1.3373155875378635,40,0.20701535515427597,0.4057500961023809,0.2114481603532968,0.4144383942924617
Proposed CNN-Transformer,Reduced,Low,5.636079574185653,0.861717884703024,40,4.4249627862137775,1.2409357153829854,40,0.1362495608081962,0.26704913918406453,0.19620916452303405,0.38456996246514674
Proposed CNN-Transformer,Reduced,Reduced,4.874818969792818,0.8823820861627432,40,3.575633288827762,1.2546460748778832,40,0.13951685794026064,0.27345304156291084,0.19837696270021365,0.38881884689241875
Proposed CNN-Transformer,Reduced,Normal,4.470206522346115,0.9730305745762735,40,3.489159852017182,1.1285690357615288,40,0.1538496424321676,0.3015452991670485,0.17844243248732256,0.3497471676751522
Proposed CNN-Transformer,Reduced,Elevated,5.079825643926337,0.9333070007196869,40,4.088801587428175,1.1475338739792682,40,0.14756879392273095,0.28923483608855266,0.1814410366985558,0.35562443192916937
Proposed CNN-Transformer,Reduced,High,6.698773758277518,1.2090889153907152,40,5.423961989907999,1.464201035614959,40,0.1911737433148637,0.37470053689713284,0.2315105112460295,0.4537606020422178
Proposed CNN-Transformer,Normal,Low,5.065360073933028,0.8167813011970291,40,3.9562538973915777,1.1869176798559973,40,0.12914446310093125,0.25312314767782523,0.18766816317337523,0.36782959981981544
Proposed CNN-Transformer,Normal,Reduced,4.303935337589029,0.8325707918976372,40,3.1242488709962544,1.12243781360705,40,0.13164100078632973,0.2580163615412063,0.17747300114489067,0.3478470822439857
Proposed CNN-Transformer,Normal,Normal,3.704279704766793,0.9038460993501587,40,2.5805700801670275,1.0045834410356675,40,0.1429106164102668,0.2801048081641229,0.1588385886681085,0.3113236337894926
Proposed CNN-Transformer,Normal,Elevated,4.563951648975598,0.8511641477585487,40,3.5671935616599972,0.8756179763351565,40,0.13458086847965578,0.26377850222012533,0.13844735827032548,0.2713568222098379
Proposed CNN-Transformer,Normal,High,6.540838613931596,1.0539325464032827,40,5.409654141491241,1.0936405518738113,40,0.16664136734077373,0.3266170799879165,0.17291975427223855,0.33892271837358756
Proposed CNN-Transformer,Elevated,Low,5.507340919207954,1.004243200360252,40,4.599166379539088,1.2315925229476727,40,0.1587847918937611,0.31121819211177176,0.19473187608739187,0.38167447713128805
Proposed CNN-Transformer,Elevated,Reduced,5.000881915869309,0.8928794126972801,40,3.735379152657971,1.281225818708018,40,0.14117663099984357,0.2767061967596934,0.20257958920656538,0.39705599484486814
Proposed CNN-Transformer,Elevated,Normal,4.849717870168311,0.8520815456575707,40,3.571773278763755,1.095623462498137,40,0.1347259218237339,0.2640628067745185,0.1732332799707093,0.33953722874259024
Proposed CNN-Transformer,Elevated,Elevated,5.316538261253725,0.8971910526661462,40,3.9593780134416017,1.2112213186548293,40,0.14185836113745529,0.2780423878294124,0.19151090587509262,0.3753613755151815
Proposed CNN-Transformer,Elevated,High,6.721400492953106,0.8460350702287532,40,5.508251335235049,1.0204701487209535,40,0.1337698901151686,0.2621889846257304,0.16135049770844875,0.31624697550855957
Proposed CNN-Transformer,High,Low,7.0009717752291465,1.0652056467378774,40,5.754377386638312,0.9327931851492373,40,0.16842380100822,0.33011064997611117,0.147487552547737,0.2890756029935645
Proposed CNN-Transformer,High,Reduced,6.356280959006965,1.1296701483006537,40,5.02579074384703,1.2733151694153069,40,0.17861653366651287,0.3500884059863652,0.201328805729777,0.3946044592303629
Proposed CNN-Transformer,High,Normal,6.070760359442799,0.9508612275174972,40,5.158188029368805,1.196863638769494,40,0.1503443608849432,0.2946749473344887,0.18924075735743037,0.3709118844205635
Proposed CNN-Transformer,High,Elevated,6.539978206471493,0.9064690682615675,40,5.52219342702608,1.2538953134992603,40,0.14332534420986,0.2809176746513256,0.19825825690342685,0.3885861835307166
Proposed CNN-Transformer,High,High,7.777234897682897,1.1085416199947562,40,6.710688563697085,1.2889902349744677,40,0.17527582001381412,0.34354060722707563,0.20380725121174745,0.399462212375025
Fixed-speed baseline,Low,Low,15.939873957089679,2.1513751186486827,40,19.494945342727476,3.8062530621288464,40,0.3401622738172413,0.666718056681793,0.6018214513658768,1.1795700446771187
Fixed-speed baseline,Low,Reduced,14.287335321383988,2.0670821716832797,40,18.056868133446507,3.316913703526867,40,0.3268343886623187,0.6405954017781446,0.5244501052684687,1.0279222063261986
Fixed-speed baseline,Low,Normal,14.136609315258946,2.1386897235920905,40,17.839292115017564,3.617499410614992,40,0.3381565367473477,0.6627868120248015,0.5719768785930034,1.1210746820422866
Fixed-speed baseline,Low,Elevated,15.08916496991252,2.6025633968136788,40,19.209186349054484,3.439243933306551,40,0.4115014044457914,0.8065427527137512,0.5437922129082466,1.0658327373001635
Fixed-speed baseline,Low,High,17.90472168985011,2.7257037717943273,40,22.80673291141043,3.6291361932191775,40,0.43097160728909456,0.8447043502866253,0.5738168154762759,1.124680958333501
Fixed-speed baseline,Reduced,Low,14.028462092346208,2.331101814230051,40,16.650497422022706,3.82317250056272,40,0.36857955953588345,0.7224159366903316,0.6044966494749785,1.1848134329709579
Fixed-speed baseline,Reduced,Reduced,11.981844787902306,2.386928583523343,40,15.164627602786279,2.909718547668203,40,0.37740654680466107,0.7397168317371356,0.460066898033437,0.9017311201455365
Fixed-speed baseline,Reduced,Normal,11.227291858524072,2.02632860987663,40,14.901937536751879,3.1394917849859243,40,0.3203906847586457,0.6279657421269456,0.49639723679715686,0.9729385841224274
Fixed-speed baseline,Reduced,Elevated,13.037171629060499,2.4697819915992314,40,15.587864045879021,3.085640153116393,40,0.39050682087602084,0.7653933689170008,0.4878825461759253,0.9562497905048136
Fixed-speed baseline,Reduced,High,16.169452440296713,2.6326061307655118,40,20.08552380144416,3.9978911776195973,40,0.41625157776710464,0.8158530924235251,0.6321220979385354,1.2389593119595292
Fixed-speed baseline,Normal,Low,12.310846171132454,2.046901833142527,40,16.616916338415,3.2928071054572183,40,0.32364359697521583,0.6343414500714231,0.5206385174415533,1.0204514941854446
Fixed-speed baseline,Normal,Reduced,10.647623066542927,2.2306614477655504,40,14.262959357962197,3.1480471585865506,40,0.3526985431833927,0.6912891446394497,0.4977499601377396,0.9755899218699696
Fixed-speed baseline,Normal,Normal,9.055116474142254,2.4059435066702086,40,11.870218524758181,2.627918447492873,40,0.3804130701385186,0.7456096174714965,0.4155103899625541,0.8144003643266061
Fixed-speed baseline,Normal,Elevated,11.910998209070172,2.3636182231516516,40,14.669094314805758,3.164476528102668,40,0.37372085521196735,0.732492876215456,0.5003476715473131,0.9806814362327336
Fixed-speed baseline,Normal,High,15.598990206261153,2.679657397182581,40,20.333681728840183,3.404709312846432,40,0.42369103620077103,0.8304344309535112,0.5383318099690753,1.0551303475393874
Fixed-speed baseline,Elevated,Low,13.890799688513557,1.9619333233984586,40,17.234708190404824,3.244463410518529,40,0.3102088959661425,0.6080094360936392,0.5129947081158227,1.0054696279070126
Fixed-speed baseline,Elevated,Reduced,12.32566215191572,2.016269273339018,40,15.2109907692977,3.3101834588152887,40,0.3188001639981954,0.624848321436463,0.5233859601435242,1.0258364818813075
Fixed-speed baseline,Elevated,Normal,11.473775108565064,2.0062283169377526,40,15.237948793137804,2.9367390551195625,40,0.31721254939247306,0.6217365968092472,0.46433921538742934,0.9101048621593615
Fixed-speed baseline,Elevated,Elevated,12.960651622804173,2.375842139975949,40,16.98802495116596,2.94505300782553,40,0.37565362616662895,0.7362811072865927,0.46565376673291825,0.9126813827965198
Fixed-speed baseline,Elevated,High,16.528129222951385,2.524880891494399,40,20.952372374618975,3.9485613882000035,40,0.399218721887938,0.7824686949003584,0.6243223733854157,1.2236718518354148
Fixed-speed baseline,High,Low,17.219634542850898,2.431839133104515,40,20.383770406925805,3.5479898146749775,40,0.38450752818698225,0.7536347552464852,0.5609864464725814,1.0995334350862596
Fixed-speed baseline,High,Reduced,15.352127860374438,2.17101120785571,40,18.770020730783646,3.486825657577471,40,0.34326701212886407,0.6728033437725736,0.5513155440929578,1.0805784664221973
Fixed-speed baseline,High,Normal,14.740584484125511,2.6421495496642837,40,19.820156416232816,3.7541389715769595,40,0.4177605247863654,0.8188106285812762,0.5935814901492656,1.1634197206925607
Fixed-speed baseline,High,Elevated,15.90532668974267,2.2762322274953295,40,20.33286536971127,3.6953899323037116,40,0.3599039161181894,0.7054116755916512,0.5842924514267583,1.1452132047964463
Fixed-speed baseline,High,High,18.738224056365816,2.950554753163294,40,22.178940414854775,3.738369035834961,40,0.46652366905159554,0.9143863913411272,0.591088044374305,1.1585325669736377
