controller,severity,preload,afterload,load_stress,run,MAP RMSE (mmHg),Unsafe Event Rate (%)
Proposed CNN-Transformer,Mild,Low,Low,2.1400934559032696,1,4.912979215612812,3.8704767482954034
Proposed CNN-Transformer,Mild,Low,Low,2.1400934559032696,2,6.760636259303833,3.8491368144062097
Proposed CNN-Transformer,Mild,Low,Low,2.1400934559032696,3,5.62054085682945,4.104474396032999
Proposed CNN-Transformer,Mild,Low,Low,2.1400934559032696,4,4.522455532584259,4.420532021509647
Proposed CNN-Transformer,Mild,Low,Low,2.1400934559032696,5,5.941172263012369,4.2892731494585705
Proposed CNN-Transformer,Mild,Low,Low,2.1400934559032696,6,5.980670699613567,5.539518337100469
Proposed CNN-Transformer,Mild,Low,Low,2.1400934559032696,7,5.983067995107504,4.925901382363492
Proposed CNN-Transformer,Mild,Low,Low,2.1400934559032696,8,4.8065775515200935,3.931287556054816
Proposed CNN-Transformer,Mild,Low,Low,2.1400934559032696,9,5.309574910023156,4.27406124354914
Proposed CNN-Transformer,Mild,Low,Low,2.1400934559032696,10,5.975281572443895,3.411021221019461
Proposed CNN-Transformer,Mild,Low,Reduced,1.8027756377319946,1,4.682079875641084,4.2031981384530095
Proposed CNN-Transformer,Mild,Low,Reduced,1.8027756377319946,2,4.34906449548341,3.986078656516994
Proposed CNN-Transformer,Mild,Low,Reduced,1.8027756377319946,3,5.244461075666901,4.203225341592111
Proposed CNN-Transformer,Mild,Low,Reduced,1.8027756377319946,4,5.08937121426503,2.723507471128161
Proposed CNN-Transformer,Mild,Low,Reduced,1.8027756377319946,5,4.562660447975975,4.378097380802008
Proposed CNN-Transformer,Mild,Low,Reduced,1.8027756377319946,6,6.330059393597158,3.6134561640579443
Proposed CNN-Transformer,Mild,Low,Reduced,1.8027756377319946,7,6.016561183462094,4.5359158260977575
Proposed CNN-Transformer,Mild,Low,Reduced,1.8027756377319946,8,4.794568709393204,4.411565892361912
Proposed CNN-Transformer,Mild,Low,Reduced,1.8027756377319946,9,4.993773038214468,3.264334593165174
Proposed CNN-Transformer,Mild,Low,Reduced,1.8027756377319946,10,5.204492868375236,2.9363009182577184
Proposed CNN-Transformer,Mild,Low,Normal,1.7,1,4.14391673070097,3.990081842448143
Proposed CNN-Transformer,Mild,Low,Normal,1.7,2,5.389803811474462,3.44300211930387
Proposed CNN-Transformer,Mild,Low,Normal,1.7,3,4.956815422350182,3.251883010803452
Proposed CNN-Transformer,Mild,Low,Normal,1.7,4,5.4896587371699646,3.3137865143135246
Proposed CNN-Transformer,Mild,Low,Normal,1.7,5,4.562148548660879,4.15214955812864
Proposed CNN-Transformer,Mild,Low,Normal,1.7,6,4.07867509008908,4.1429847799141974
Proposed CNN-Transformer,Mild,Low,Normal,1.7,7,5.989943579704952,3.4183428982832944
Proposed CNN-Transformer,Mild,Low,Normal,1.7,8,5.435951392892017,4.025109351327143
Proposed CNN-Transformer,Mild,Low,Normal,1.7,9,5.520920745621595,3.3616272807491305
Proposed CNN-Transformer,Mild,Low,Normal,1.7,10,6.075872183937189,3.8505640624238544
Proposed CNN-Transformer,Mild,Low,Elevated,1.972308292331602,1,4.899877633021052,4.912695178109183
Proposed CNN-Transformer,Mild,Low,Elevated,1.972308292331602,2,4.486531912274777,6.161809507812649
Proposed CNN-Transformer,Mild,Low,Elevated,1.972308292331602,3,4.584251971058503,3.38959152984891
Proposed CNN-Transformer,Mild,Low,Elevated,1.972308292331602,4,4.911272761295097,4.522715803279053
Proposed CNN-Transformer,Mild,Low,Elevated,1.972308292331602,5,6.337210465448306,3.746132726817029
Proposed CNN-Transformer,Mild,Low,Elevated,1.972308292331602,6,6.623926058464522,2.9608204380064578
Proposed CNN-Transformer,Mild,Low,Elevated,1.972308292331602,7,5.04881004408452,4.1595469368246585
Proposed CNN-Transformer,Mild,Low,Elevated,1.972308292331602,8,5.928683577167411,3.8756446209848887
Proposed CNN-Transformer,Mild,Low,Elevated,1.972308292331602,9,4.991251709264183,3.8528440556185712
Proposed CNN-Transformer,Mild,Low,Elevated,1.972308292331602,10,5.9012179088635985,4.13393216986215
Proposed CNN-Transformer,Mild,Low,High,2.701851217221259,1,7.24855450114762,5.8961982327646405
Proposed CNN-Transformer,Mild,Low,High,2.701851217221259,2,6.680080303811355,5.0468923988409475
Proposed CNN-Transformer,Mild,Low,High,2.701851217221259,3,5.388749529601069,5.2205126913363475
Proposed CNN-Transformer,Mild,Low,High,2.701851217221259,4,6.810630369938343,6.135779428980318
Proposed CNN-Transformer,Mild,Low,High,2.701851217221259,5,6.788566784103542,6.028585315692351
Proposed CNN-Transformer,Mild,Low,High,2.701851217221259,6,6.668541281671055,4.708684081930529
Proposed CNN-Transformer,Mild,Low,High,2.701851217221259,7,7.170873541820243,6.782716733794087
Proposed CNN-Transformer,Mild,Low,High,2.701851217221259,8,7.112461472438958,5.678942870117836
Proposed CNN-Transformer,Mild,Low,High,2.701851217221259,9,7.826533227685442,5.07440784803751
Proposed CNN-Transformer,Mild,Low,High,2.701851217221259,10,6.70512333486251,4.484797929044473
Proposed CNN-Transformer,Mild,Reduced,Low,1.5264337522473748,1,4.788758708873735,3.6247801000148208
Proposed CNN-Transformer,Mild,Reduced,Low,1.5264337522473748,2,4.69654519962353,3.885133117330226
Proposed CNN-Transformer,Mild,Reduced,Low,1.5264337522473748,3,4.381014559344817,3.4410089012968044
Proposed CNN-Transformer,Mild,Reduced,Low,1.5264337522473748,4,5.7313005007394375,3.2600471228757035
Proposed CNN-Transformer,Mild,Reduced,Low,1.5264337522473748,5,4.374397253657293,4.064427163432525
Proposed CNN-Transformer,Mild,Reduced,Low,1.5264337522473748,6,4.838741022135161,2.757435216273272
Proposed CNN-Transformer,Mild,Reduced,Low,1.5264337522473748,7,5.218565112104986,2.723971256134511
Proposed CNN-Transformer,Mild,Reduced,Low,1.5264337522473748,8,4.1792150399883585,3.6179109461565204
Proposed CNN-Transformer,Mild,Reduced,Low,1.5264337522473748,9,5.653896634462989,2.32187988970127
Proposed CNN-Transformer,Mild,Reduced,Low,1.5264337522473748,10,4.564161465001271,3.835751941998662
Proposed CNN-Transformer,Mild,Reduced,Reduced,1.0,1,3.9680181274920994,3.3751967199282413
Proposed CNN-Transformer,Mild,Reduced,Reduced,1.0,2,3.6041073210489065,1.2479924920962557
Proposed CNN-Transformer,Mild,Reduced,Reduced,1.0,3,4.04929214394633,1.3876652088170722
Proposed CNN-Transformer,Mild,Reduced,Reduced,1.0,4,3.749010377762588,1.8338667072033048
Proposed CNN-Transformer,Mild,Reduced,Reduced,1.0,5,3.6497753038933,2.1102501073479507
Proposed CNN-Transformer,Mild,Reduced,Reduced,1.0,6,3.7616955861707613,3.5474497400582856
Proposed CNN-Transformer,Mild,Reduced,Reduced,1.0,7,3.69797150131212,2.0683934185231294
Proposed CNN-Transformer,Mild,Reduced,Reduced,1.0,8,4.17901098134982,2.015716400698388
Proposed CNN-Transformer,Mild,Reduced,Reduced,1.0,9,3.3988156722214797,2.763178751036703
Proposed CNN-Transformer,Mild,Reduced,Reduced,1.0,10,4.820741967446218,2.949710593588735
Proposed CNN-Transformer,Mild,Reduced,Normal,0.8,1,3.3827692976818944,1.7787396156231914
Proposed CNN-Transformer,Mild,Reduced,Normal,0.8,2,3.888633524923637,2.9088647330518556
Proposed CNN-Transformer,Mild,Reduced,Normal,0.8,3,4.213490493672192,2.743098207540051
Proposed CNN-Transformer,Mild,Reduced,Normal,0.8,4,3.9939683170299256,2.316460041558179
Proposed CNN-Transformer,Mild,Reduced,Normal,0.8,5,4.007991418187796,2.327784301597418
Proposed CNN-Transformer,Mild,Reduced,Normal,0.8,6,3.840074476872808,2.6928871482870878
Proposed CNN-Transformer,Mild,Reduced,Normal,0.8,7,3.95537814391768,2.5315467393903504
